countryname,provax,postcom,month,sourcelink
austria,49,0,12,https://www.diepresse.com/5912164/umfrage-impfbereitschaft-der-osterreicher-nimmt-ab
austria,54,0,10,https://www.diepresse.com/5912164/umfrage-impfbereitschaft-der-osterreicher-nimmt-ab 
austria,56,0,11,https://www.gallup.at/de/unternehmen/studien/2020/covid-19-impfbereitschaft-steigt/
belgium,60,0,12,https://www.sciensano.be/fr/coin-presse/enquete-de-sante-covid-19-60-de-la-population-veut-se-faire-vacciner-principalement-pour-retrouver
belgium,50,0,10,https://www.rtbf.be/info/dossier/epidemie-de-coronavirus/detail_coronavirus-un-tiers-d-hesitants-sur-le-vaccin-en-belgique-comment-communiquer?id=10648179
belgium,57,0,12,https://www.ln24.be/2020-12-16/manque-de-confiance-des-belges-envers-le-vaccin-covid-19?__cf_chl_jschl_tk__=137f83e13430b0d5cdf288a3b658edac4ef1cbe4-1612534682-0-AWpvJs7oPq3uIDmKeVsK4FpbUzuUjBpVwb3tLovyS2CnhHyRRvMBCs5GXKXGXUZhuYuQUzrw0vx2DYl7WVK3qIOtiT2HCMfeFAakfx1RNIOWzPvZ2dbftOAC7Saj1JjGd0Q2evGlw-wzfv4eKRDExVePriveSy8SsH_fFpEfty3XI0RKaxC03b1JQo9oWyYW7oB31v59Iu5U-Zeyobj7TF53TjBIDxUGTagy0o3ooENCU-0htgrcdsh8nMozhbPQQ7tsrQDnwGTWPr30hAyd-D3w5brFKgHL5rT5OWSkfwCHRTQKT_Zrnrn4qVnzY9GVl6KAWt_EaV5-F3ihzI3bHqnx4zS-wz4b-cwpGLXYB9CkunPX8Rwlj9jn-fZj3iKMgWXdYM4XluMzaxh64tU1efz0ABnono39o5n9bdXGwTM4Hecbpg3dynEDOuDJnAmhSMuIQaqLwyHbvsUEy5RThGE
denmark,81,0,10,"https://dagensmedicin.dk/stor-undersoegelse-danskerne-er-klar-til-at-lade-sig-coronavaccinere/#:~:text=50%20pct.,dansk%20unders%C3%B8gelse%20fra%20Aarhus%20Universitet."
denmark,79,0,11,https://www.carlsbergfondet.dk/da/Nyheder/Nyt-fra-fondet/Nyheder/Danskere-er-mest-villige-til-at-lade-sig-vaccinere-mod-Covid19
finland,56,0,12,Dec. 2020 https://www.iltalehti.fi/paakirjoitus/a/63b21b99-9dc6-446f-919e-8db7b76d7e76
france,41,0,11,https://www.ifop.com/publication/les-francais-et-le-covid-19-confiance-dans-le-gouvernement-et-intention-de-se-faire-vacciner/
france,42,0,11,https://www.lefigaro.fr/politique/la-population-francaise-reste-en-majorite-refractaire-a-la-vaccination-20210103
france,54,0,10,Oct. 2020 https://www.ipsos.com/en/global-attitudes-covid-19-vaccine-october-2020
germany,67,0,11,https://www.aerzteblatt.de/nachrichten/118522/Laut-Umfrage-wollen-weniger-Menschen-definitiv-Impfung-gegen-Corona
germany,53,0,11,https://www.deutsche-apotheker-zeitung.de/news/artikel/2020/11/30/corona-impfbereitschaft-steigt-mit-dem-alter
germany,62.5,0,11,https://www.spiegel.de/wissenschaft/mensch/corona-umfrage-impfskeptiker-sind-in-deutschland-in-der-minderheit-a-3dfac32b-ed44-421a-9857-9258522b1ce2
germany,69,0,10,https://www.ipsos.com/en/global-attitudes-covid-19-vaccine-october-2020
greece,42,0,12,https://www.naftemporiki.gr/story/1668912/ereuna-to-42-ton-ellinon-protithetai-na-emboliastei
greece,66.3,0,12,https://www.naftemporiki.gr/story/1672314/ereuna-covid-duo-stous-treis-ellines-tha-kanoun-to-embolio-enas-stous-treis-sigoura
ireland,71,0,11,https://redcresearch.ie/wp-content/uploads/2020/12/WIN-World-Survey-Post-Coronarivus-Times-Press-Release-December-2020-1.pdf
italy,31,0,11,https://corrieredellumbria.corr.it/news/esteri/26107777/vaccino-cresce-fiducia-mondo-sondaggio.html
italy,63,0,12,https://www.adnkronos.com/vaccino-covid-sondaggio-6-italiani-su-10-dicono-si_4b7RVHqayN7vrGVZGuvnlc
italy,65,0,10,https://www.ipsos.com/en/global-attitudes-covid-19-vaccine-october-2020
netherlands,48,0,11,https://www.ad.nl/binnenland/helft-nederlanders-wil-vooraan-staan-bij-uitdelen-coronavaccin~a5492308/?referrer=https%3A%2F%2Fwww.google.com%2F
norway,52,0,11,https://www.dagbladet.no/nyheter/okende-tillit-til-coronavaksine/73085500
portugal,63,0,11,https://observador.pt/2020/12/03/covid-19-estudo-revela-que-confianca-dos-portugueses-nas-vacinas-esta-a-aumentar/
spain,32.5,0,11,https://www.redaccionmedica.com/secciones/sanidad-hoy/cis-dispara-aceptacion-vacuna-covid-19-pondria-ya-5134
spain,40.2,0,10,https://vacunasaep.org/profesionales/noticias/covid-19-vacunas-se-vacunaria-usted
spain,39,0,12,https://www.economiadigital.es/politica/rechazo-vacuna-se-dispara-solo-39-espanoles-quiere-ponersela_20111908_102.html
spain,64,0,10,https://www.ipsos.com/en/global-attitudes-covid-19-vaccine-october-2020
sweden,46,0,11,https://www.svt.se/nyheter/inrikes/ny-dramatisk-okning-fler-vill-vaccinera-sig-mot-covid-19
sweden,71,0,12,https://www.svt.se/nyheter/inrikes/ny-dramatisk-okning-fler-vill-vaccinera-sig-mot-covid-19
switzerland,41.3,0,12,Dec 2020 https://www.24heures.ch/les-retards-de-vaccination-vont-couter-cher-a-la-suisse-352089808224
turkey,44,0,12,https://www.ipsos.com/tr-tr/koronaviruse-karsi-asi-yaptirma-egilimi-yukseliste
turkey,38,0,12,https://www.ipsos.com/tr-tr/koronaviruse-karsi-asi-yaptirma-egilimi-yukseliste
turkey,51,0,10,https://www.ipsos.com/tr-tr/koronaviruse-karsi-asi-yaptirma-egilimi-yukseliste
unitedkingdom,79,0,10,https://www.ipsos.com/en/global-attitudes-covid-19-vaccine-october-2020
unitedkingdom,77,0,12,https://www.ipsos.com/en/global-attitudes-covid-19-vaccine-december-2020
unitedkingdom,67,0,11,https://www.itv.com/news/2020-12-02/almost-70-of-uk-adults-would-accept-approved-covid-19-vaccine-but-fears-deter-others-itv-news-poll-finds
poland,44,1,12,https://www.dw.com/ro/polonia-o-%C5%A3ar%C4%83-plin%C4%83-de-antivaccini%C5%9Fti/a-56112632
poland,43,1,10,https://www.globsec.org/news/new-globsec-study-finds-that-the-willingness-to-get-vaccinated-against-the-covid-19-rises-with-the-trust-in-public-authorities/
russia,38,1,12,https://www.rbc.ru/society/23/12/2020/5fe3129b9a79476addb0c9e5
russia,30,1,12,https://www.interfax.ru/russia/739891
ukraine,55,1,11,https://hromadske.ua/ru/posts/ukraincy-otvetili-gotovy-li-delat-privivki-ot-covid-19
ukraine,35,1,11,https://hromadske.ua/ru/posts/ukraincy-otvetili-gotovy-li-delat-privivki-ot-covid-19
moldova,31,1,12,https://www.jurnal.md/ro/news/735e6df0740ce8d0/cati-dintre-cetatenii-rm-considera-ca-noul-coronavirus-nu-exista-sondaj.html?fbclid=IwAR0MT9t6P41wzU_G2GYqbC_pX5BFy2KrcR8beiGQHIM5Aw-V95MvqqXovZ0
georgia,22,1,12,https://formulanews.ge/News/42532
latvia,47,1,10,https://www.tvnet.lv/7098432/aptauja-47-latvijas-iedzivotaju-butu-gatavi-vakcineties-pret-covid-19
latvia,38,1,11,https://skaties.lv/zinas/latvija/sabiedriba/aptauja-44-iedzivotaju-nevakcinetos-ja-latvija-butu-pieejama-covid-19-vakcina/
estonia,50,1,12,https://www.sm.ee/et/uudised/uuring-elanike-ohutunne-seoses-covid-19-levikuga-ja-juhiste-jargimine-sugise-korgeimal
estonia,59,1,12,https://www.err.ee/1163254/enamik-eesti-elanikest-noustub-maskikandmise-ja-vaktsineerimisega
croatia,43,1,11,https://www.aljazeera.com/news/2020/11/23/majority-of-croatians-sceptical-of-coronavirus-vaccine
slovenia,49,1,12,https://medium.com/sledilnik/raziskava-koliko-ljudi-se-namerava-cepiti-ec09243570e1
slovenia,43,1,11,https://siol.net/digisvet/novice/v-sloveniji-med-najbolj-nenaklonjenimi-za-cepljenje-proti-covid-19-539052
albania,40,1,10,https://biepag.eu/covid-19-and-the-balkans-navigating-conspiracy-theories-and-geopolitics/
macedonia,34,1,10,https://biepag.eu/covid-19-and-the-balkans-navigating-conspiracy-theories-and-geopolitics/
macedonia,29,1,10,https://www.globsec.org/news/new-globsec-study-finds-that-the-willingness-to-get-vaccinated-against-the-covid-19-rises-with-the-trust-in-public-authorities/
bosniaandherzegovina,34,1,10,https://biepag.eu/covid-19-and-the-balkans-navigating-conspiracy-theories-and-geopolitics/
montenegro,45,1,10,https://biepag.eu/covid-19-and-the-balkans-navigating-conspiracy-theories-and-geopolitics/
montenegro,36,1,10,https://www.globsec.org/news/new-globsec-study-finds-that-the-willingness-to-get-vaccinated-against-the-covid-19-rises-with-the-trust-in-public-authorities/
kosovo,35,1,10,https://biepag.eu/covid-19-and-the-balkans-navigating-conspiracy-theories-and-geopolitics/
serbia,42,1,10,https://biepag.eu/covid-19-and-the-balkans-navigating-conspiracy-theories-and-geopolitics/
serbia,41,1,10,https://www.globsec.org/news/new-globsec-study-finds-that-the-willingness-to-get-vaccinated-against-the-covid-19-rises-with-the-trust-in-public-authorities/
czechrepublic,40,1,12,https://www.irozhlas.cz/zpravy-domov/ockovani-proti-koronaviru-cesko_2012160600_zuj
czechrepublic,35,1,10,https://www.globsec.org/publications/globsec-trends-2020/
bulgaria,23,1,10,https://www.globsec.org/news/new-globsec-study-finds-that-the-willingness-to-get-vaccinated-against-the-covid-19-rises-with-the-trust-in-public-authorities/
romania,55.24,1,11,https://www.digi24.ro/stiri/actualitate/social/sondaj-aproape-40-dintre-romani-spun-ca-nu-s-ar-vaccina-impotriva-covid-19-1400687
romania,30,1,12,https://www.digi24.ro/stiri/actualitate/sondaj-35-dintre-romani-vor-sa-se-vaccineze-si-au-incredere-in-eficacitatea-vaccinurilor-anti-covid-1436036
romania,45,1,12,https://www.globsec.org/news/new-globsec-study-finds-that-the-willingness-to-get-vaccinated-against-the-covid-19-rises-with-the-trust-in-public-authorities/
